RTO,OBV Fair Value,OBV good value,OBV verygood value,OBV Excellent Value,Health Score,URL
MH 06,"₹3,33,372 - ₹3,53,992
 Price range for this vehicle in Fair condition","₹3,41,919 - ₹3,63,069
 Price range for this vehicle in Good condition","₹3,50,468 - ₹3,72,145
 Price range for this vehicle in Very Good condition","₹3,59,015 - ₹3,81,223
 Price range for this vehicle in Excellent condition","7.3



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 02,"₹4,40,366 - ₹4,67,606
 Price range for this vehicle in Fair condition","₹4,51,658 - ₹4,79,595
 Price range for this vehicle in Good condition","₹4,62,949 - ₹4,91,585
 Price range for this vehicle in Very Good condition","₹4,74,240 - ₹5,03,575
 Price range for this vehicle in Excellent condition","4



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹4,32,989 - ₹4,59,771
 Price range for this vehicle in Fair condition","₹4,44,091 - ₹4,71,561
 Price range for this vehicle in Good condition","₹4,55,194 - ₹4,83,350
 Price range for this vehicle in Very Good condition","₹4,66,296 - ₹4,95,138
 Price range for this vehicle in Excellent condition","8.5



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 01,"₹3,43,526 - ₹3,64,776
 Price range for this vehicle in Fair condition","₹3,52,335 - ₹3,74,129
 Price range for this vehicle in Good condition","₹3,61,144 - ₹3,83,483
 Price range for this vehicle in Very Good condition","₹3,69,952 - ₹3,92,836
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 42,"₹1,69,267 - ₹1,79,737
 Price range for this vehicle in Fair condition","₹1,73,606 - ₹1,84,345
 Price range for this vehicle in Good condition","₹1,77,947 - ₹1,88,954
 Price range for this vehicle in Very Good condition","₹1,82,287 - ₹1,93,563
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 04,"₹2,54,209 - ₹2,69,933
 Price range for this vehicle in Fair condition","₹2,60,727 - ₹2,76,854
 Price range for this vehicle in Good condition","₹2,67,246 - ₹2,83,776
 Price range for this vehicle in Very Good condition","₹2,73,764 - ₹2,90,698
 Price range for this vehicle in Excellent condition","3.8



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 43,"₹1,14,053 - ₹1,21,108
 Price range for this vehicle in Fair condition","₹1,16,977 - ₹1,24,213
 Price range for this vehicle in Good condition","₹1,19,902 - ₹1,27,318
 Price range for this vehicle in Very Good condition","₹1,22,826 - ₹1,30,424
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
MH 05,"₹7,01,982 - ₹7,45,403
 Price range for this vehicle in Fair condition","₹7,19,981 - ₹7,64,516
 Price range for this vehicle in Good condition","₹7,37,981 - ₹7,83,629
 Price range for this vehicle in Very Good condition","₹7,55,980 - ₹8,02,742
 Price range for this vehicle in Excellent condition","6



Health Score","OrderedDict([('\ufeffURL', 'https://droom.in/product/honda-brio-vx-mt-2013-60b4b6251d23b7f4048b46c5')])"
,,,,,,
