RTO,OBV Fair Value,OBV good value,OBV verygood value,OBV Excellent Value,Health Score,URL
MH 12,"₹76,102 - ₹80,809
 Price range for this vehicle in Fair condition","₹78,053 - ₹82,881
 Price range for this vehicle in Good condition","₹80,005 - ₹84,953
 Price range for this vehicle in Very Good condition","₹81,956 - ₹87,025
 Price range for this vehicle in Excellent condition","6



Health Score",https://droom.in/product/chevrolet-spark-lt-10-2009-60e832d1461405110c8b471c325
MH 43,"₹5,93,840 - ₹6,30,572
 Price range for this vehicle in Fair condition","₹6,09,067 - ₹6,46,741
 Price range for this vehicle in Good condition","₹6,24,293 - ₹6,62,910
 Price range for this vehicle in Very Good condition","₹6,39,520 - ₹6,79,078
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/volkswagen-jetta-20l-tdi-comfortline-2011-5f33d7cd64865ddb088b45a4
MH 12,"₹43,277 - ₹45,954
 Price range for this vehicle in Fair condition","₹44,387 - ₹47,132
 Price range for this vehicle in Good condition","₹45,496 - ₹48,311
 Price range for this vehicle in Very Good condition","₹46,606 - ₹49,489
 Price range for this vehicle in Excellent condition","6



Health Score",https://droom.in/product/honda-accord-24-at-2005-600d186fbe662aee5f7e4279
MH 14,"₹3,77,715 - ₹4,01,079
 Price range for this vehicle in Fair condition","₹3,87,400 - ₹4,11,363
 Price range for this vehicle in Good condition","₹3,97,085 - ₹4,21,647
 Price range for this vehicle in Very Good condition","₹4,06,770 - ₹4,31,931
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/hyundai-grand-i10-sportz-12-kappa-vtvt-2016-6131a7269c3b49eb048b45a3
MH 14,"₹4,85,798 - ₹5,15,848
 Price range for this vehicle in Fair condition","₹4,98,255 - ₹5,29,075
 Price range for this vehicle in Good condition","₹5,10,712 - ₹5,42,302
 Price range for this vehicle in Very Good condition","₹5,23,168 - ₹5,55,529
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/skoda-rapid-16-mpi-elegance-at-2016-6131a609f8dd51f1048b45a1
MH 12,"₹3,47,831 - ₹3,69,347
 Price range for this vehicle in Fair condition","₹3,56,750 - ₹3,78,817
 Price range for this vehicle in Good condition","₹3,65,668 - ₹3,88,287
 Price range for this vehicle in Very Good condition","₹3,74,588 - ₹3,97,758
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/maruti-suzuki-celerio-zxi-amt-2016-6131a455f8dd5115068b459e
MH 12,"₹2,13,192 - ₹2,26,378
 Price range for this vehicle in Fair condition","₹2,18,658 - ₹2,32,183
 Price range for this vehicle in Good condition","₹2,24,125 - ₹2,37,988
 Price range for this vehicle in Very Good condition","₹2,29,591 - ₹2,43,793
 Price range for this vehicle in Excellent condition","3.8



Health Score",https://droom.in/product/maruti-suzuki-wagon-r-vxi-2014-6131a8699c3b49ee048b4592
MH 03,"₹2,78,730 - ₹2,95,970
 Price range for this vehicle in Fair condition","₹2,85,876 - ₹3,03,559
 Price range for this vehicle in Good condition","₹2,93,023 - ₹3,11,148
 Price range for this vehicle in Very Good condition","₹3,00,170 - ₹3,18,737
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-xcent-s-12-opt-2014-6129b4b76907cc09068b45a4
MH 43,"₹1,31,058 - ₹1,39,164
 Price range for this vehicle in Fair condition","₹1,34,418 - ₹1,42,733
 Price range for this vehicle in Good condition","₹1,37,779 - ₹1,46,301
 Price range for this vehicle in Very Good condition","₹1,41,139 - ₹1,49,870
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/hyundai-accent-gls-2008-6129b38ef37f220a0c8b4579
MH 12,"₹1,59,953 - ₹1,69,847
 Price range for this vehicle in Fair condition","₹1,64,054 - ₹1,74,202
 Price range for this vehicle in Good condition","₹1,68,155 - ₹1,78,557
 Price range for this vehicle in Very Good condition","₹1,72,257 - ₹1,82,912
 Price range for this vehicle in Excellent condition","6



Health Score",https://droom.in/product/maruti-suzuki-alto-lxi-2012-612918de46883a673f8b4707
MH 14,"₹2,40,029 - ₹2,54,876
 Price range for this vehicle in Fair condition","₹2,46,184 - ₹2,61,412
 Price range for this vehicle in Good condition","₹2,52,338 - ₹2,67,947
 Price range for this vehicle in Very Good condition","₹2,58,493 - ₹2,74,482
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/ford-figo-duratorq-diesel-lxi-14-2012-5f5a0225448a5d00185c3ad5
GJ 01,"₹4,14,455 - ₹4,40,092
 Price range for this vehicle in Fair condition","₹4,25,082 - ₹4,51,376
 Price range for this vehicle in Good condition","₹4,35,709 - ₹4,62,660
 Price range for this vehicle in Very Good condition","₹4,46,337 - ₹4,73,945
 Price range for this vehicle in Excellent condition","3.6



Health Score",https://droom.in/product/maruti-suzuki-swift-dzire-vxi-2016-5fbf45eaccf3ac8a07986727
MH 02,"₹2,84,472 - ₹3,02,068
 Price range for this vehicle in Fair condition","₹2,91,766 - ₹3,09,813
 Price range for this vehicle in Good condition","₹2,99,060 - ₹3,17,558
 Price range for this vehicle in Very Good condition","₹3,06,354 - ₹3,25,304
 Price range for this vehicle in Excellent condition","4



Health Score",https://droom.in/product/volkswagen-polo-highline-12l-p-2014-6131e473a17e310d068b46fe
